file,problem,p,m,q,na,nb,nc,lb,ub
full/cert_full_q09_n04.pb.txt,full_q09_n04,3,2,9,4,4,7,7,-
full/cert_full_q11_n01.pb.txt,full_q11_n01,11,1,11,1,1,1,1,-
full/cert_full_q11_n02.pb.txt,full_q11_n02,11,1,11,2,2,3,3,-
full/cert_full_q11_n03.pb.txt,full_q11_n03,11,1,11,3,3,5,5,-
full/cert_full_q13_n01.pb.txt,full_q13_n01,13,1,13,1,1,1,1,-
full/cert_full_q13_n02.pb.txt,full_q13_n02,13,1,13,2,2,3,3,-
full/cert_full_q13_n03.pb.txt,full_q13_n03,13,1,13,3,3,5,5,-
full/cert_full_q16_n01.pb.txt,full_q16_n01,2,4,16,1,1,1,1,-
full/cert_full_q16_n02.pb.txt,full_q16_n02,2,4,16,2,2,3,3,-
full/cert_full_q16_n03.pb.txt,full_q16_n03,2,4,16,3,3,5,5,-
full/cert_full_q16_n04.pb.txt,full_q16_n04,2,4,16,4,4,7,7,-
matrix/cert_matrix_q02_n222.pb.txt,matrix_q02_n222,2,1,2,4,4,4,7,7
matrix/cert_matrix_q02_n223.pb.txt,matrix_q02_n223,2,1,2,4,6,6,11,11
matrix/cert_matrix_q02_n224.pb.txt,matrix_q02_n224,2,1,2,4,8,8,14,14
matrix/cert_matrix_q02_n233.pb.txt,matrix_q02_n233,2,1,2,6,9,6,15,15
matrix/cert_matrix_q02_n324.pb.txt,matrix_q02_n324,2,1,2,6,8,12,19,20
matrix/cert_matrix_q02_n333.pb.txt,matrix_q02_n333,2,1,2,9,9,9,20,-
matrix/cert_matrix_q02_n334.pb.txt,matrix_q02_n334,2,1,2,9,12,12,25,-
matrix/cert_matrix_q02_n344.pb.txt,matrix_q02_n344,2,1,2,12,16,12,29,-
